"SADER-JARVIS METHOD"
""
"============================"
"amplitude = ",1.e-10,"(m)"
"k = ",2000,"(N/m)"
"f0 = ",20000,"(Hz)"
"Is force curve valid? ","YES"
"============================"
""
"Distance (m)","Force (N)"
6.1999994e-10,-5.2658888182083695e-11
6.2249994e-10,-4.8784240064178575e-11
6.2499994e-10,-4.791910448443386e-11
6.2749994e-10,-5.355276214826138e-11
6.2999994e-10,-5.1430894644526786e-11
6.3249994e-10,-5.28123482351045e-11
6.3499994e-10,-5.0008812848806277e-11
6.3749994e-10,-5.1978695345473715e-11
6.3999994e-10,-5.7403549534309766e-11
6.4249994e-10,-4.5445951969381804e-11
6.4499994e-10,-3.749631012414356e-11
6.4749994e-10,-4.631529912433654e-11
6.4999994e-10,-4.433043517190962e-11
6.5249994e-10,-3.9474368924519073e-11
6.5499994e-10,-3.432410390430458e-11
6.5749994e-10,-3.683948737126493e-11
6.5999994e-10,-4.4662009955813564e-11
6.6249994e-10,-4.536613689355928e-11
6.6499994e-10,-5.0082219305514795e-11
6.6749994e-10,-5.025474042914179e-11
6.6999994e-10,-4.449419682679955e-11
6.7249994e-10,-4.6648282031119063e-11
6.7499994e-10,-4.377343068486954e-11
6.7749995e-10,-3.240810146125556e-11
6.7999995e-10,-3.7987233007493495e-11
6.8249995e-10,-4.0896336570068386e-11
6.8499995e-10,-3.425707971869869e-11
6.8749995e-10,-2.8069845329434916e-11
6.8999995e-10,-3.0335250646969235e-11
6.9249995e-10,-3.877658571625689e-11
6.9499995e-10,-4.063857024256198e-11
6.9749995e-10,-4.2678755551453126e-11
6.9999995e-10,-4.3511738145722284e-11
7.0249995e-10,-4.301006315309125e-11
7.0499995e-10,-4.1934192503748515e-11
7.0749995e-10,-4.703524966118702e-11
7.0999995e-10,-3.939319263459827e-11
7.1249995e-10,-3.1155625308738016e-11
7.1499995e-10,-3.237700628366558e-11
7.1749995e-10,-3.615729878421261e-11
7.1999995e-10,-3.5718082579256383e-11
7.2249995e-10,-2.7978138618953162e-11
7.2499995e-10,-3.1841980285491045e-11
7.2749995e-10,-3.154473879947412e-11
7.2999995e-10,-2.6423890253771487e-11
7.3249995e-10,-2.6916316445124188e-11
7.3499995e-10,-2.962934200621849e-11
7.3749995e-10,-2.6235190820475503e-11
7.3999995e-10,-2.5949207451293715e-11
7.4249995e-10,-3.2000961313838107e-11
7.4499995e-10,-3.023134119570429e-11
7.4749995e-10,-2.8869070648732473e-11
7.4999995e-10,-3.182242129857703e-11
7.5249995e-10,-3.603475534379021e-11
7.5499995e-10,-3.0953389971624176e-11
7.5749995e-10,-2.7332183151881195e-11
7.5999995e-10,-2.970948795647231e-11
7.6249995e-10,-2.4137800143551573e-11
7.6499995e-10,-2.551743313339124e-11
7.6749995e-10,-2.8138380891862625e-11
7.6999995e-10,-2.4194102769219665e-11
7.7249995e-10,-2.52645059595817e-11
7.7499995e-10,-2.975096846978357e-11
7.7749995e-10,-2.761958886659075e-11
7.7999995e-10,-2.95416795900064e-11
7.8249995e-10,-3.1347482131539335e-11
7.8499995e-10,-3.197742094747555e-11
7.8749995e-10,-2.5643325547609254e-11
7.8999995e-10,-2.048025649755086e-11
7.9249995e-10,-1.9979769076473915e-11
7.9499995e-10,-1.958948276554384e-11
7.9749995e-10,-2.236073372907304e-11
7.9999996e-10,-2.119823872840401e-11
8.0249996e-10,-1.9141746741408398e-11
8.0499996e-10,-2.1172971589224715e-11
8.0749996e-10,-2.290103383145313e-11
8.0999996e-10,-2.9081639582037406e-11
8.1249996e-10,-2.8764624088634583e-11
8.1499996e-10,-1.7773290668732925e-11
8.1749996e-10,-2.1980895961175685e-11
8.1999996e-10,-2.5227429272763652e-11
8.2249996e-10,-2.941350944373865e-11
8.2499996e-10,-2.7902270699667988e-11
8.2749996e-10,-2.1813245982698616e-11
8.2999996e-10,-2.2366866326130012e-11
8.3249996e-10,-2.2686487626846285e-11
8.3499996e-10,-1.8613515855126736e-11
8.3749996e-10,-1.8439896133658426e-11
8.3999996e-10,-1.9987077861485582e-11
8.4249996e-10,-1.4766223090780114e-11
8.4499996e-10,-1.5326489279264255e-11
8.4749996e-10,-1.885007356859474e-11
8.4999996e-10,-1.7925470157063292e-11
8.5249996e-10,-1.0926089814265009e-11
8.5499996e-10,-1.7330846629936497e-11
8.5749996e-10,-1.7153696915375228e-11
8.5999996e-10,-1.6831009605659456e-11
8.6249996e-10,-1.5647717770825068e-11
8.6499996e-10,-1.1314379308829498e-11
8.6749996e-10,-2.012551616086818e-11
8.6999996e-10,-1.766380185497103e-11
8.7249996e-10,-1.3924824573825637e-11
8.7499996e-10,-1.7284943136513117e-11
8.7749996e-10,-1.7717706321653577e-11
8.7999996e-10,-1.8279871177006774e-11
8.8249996e-10,-2.4562160198239333e-11
8.8499996e-10,-1.8688575323776664e-11
8.8749996e-10,-1.0081044002207119e-11
